order n algorithm time
ascending 10 quick 400652
ascending 10 insertion 5344
ascending 10 merge 15787
ascending 10 bubble 14894
descending 10 quick 5219
descending 10 insertion 2424
descending 10 merge 6891
descending 10 bubble 4370
random 10 quick 2750
random 10 insertion 2136
random 10 merge 7185
random 10 bubble 3308
ascending 100 quick 47234
ascending 100 insertion 3917
ascending 100 merge 68569
ascending 100 bubble 2881
descending 100 quick 38026
descending 100 insertion 124920
descending 100 merge 86783
descending 100 bubble 286502
random 100 quick 15690
random 100 insertion 85723
random 100 merge 159593
random 100 bubble 322181
ascending 1000 quick 1594406
ascending 1000 insertion 34337
ascending 1000 merge 906097
ascending 1000 bubble 36990
descending 1000 quick 559854
descending 1000 insertion 7178395
descending 1000 merge 141623
descending 1000 bubble 6627057
random 1000 quick 82474
random 1000 insertion 6040691
random 1000 merge 157278
random 1000 bubble 7314757
ascending 10000 quick 19136207
ascending 10000 insertion 20808
ascending 10000 merge 1467832
ascending 10000 bubble 135877
descending 10000 quick 12376485
descending 10000 insertion 17167771
descending 10000 merge 796130
descending 10000 bubble 184704240
random 10000 quick 450399
random 10000 insertion 8921335
random 10000 merge 1544364
random 10000 bubble 220755838
ascending 100000 quick 1510804775
ascending 100000 insertion 206504
ascending 100000 merge 5523336
ascending 100000 bubble 183499
descending 100000 quick 1194337559
descending 100000 insertion 1730447948
descending 100000 merge 9404306
descending 100000 bubble 18561606535
random 100000 quick 4769877
random 100000 insertion 957980240
random 100000 merge 17817367
random 100000 bubble 27825894595
ascending 1000000 quick 157693567943
ascending 1000000 insertion 1305817
ascending 1000000 merge 60442713
ascending 1000000 bubble 1691495
descending 1000000 quick 132363102048
descending 1000000 insertion 204519036660
descending 1000000 merge 70007007
descending 1000000 bubble 1988467692247
random 1000000 quick 51531460
random 1000000 insertion 96729785315
random 1000000 merge 160616257
random 1000000 bubble 2756237612753
